user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,source,is_retweet,cleaned_text,sentiment_label,sentiment_score
TreasureTress,London,"THE Monthly Product Discovery Box for Kinky Curly Hair 💁🏾 The hunt for the best products for #naturalhair, is over! Subscribe now!",2014-06-20 11:35:56+00:00,1934,406,2159,False,2021-10-06 12:03:56+00:00,The struggle is VERY real 👀 #SquidGame https://t.co/I92JG4ol4x,Twitter Web App,False,struggle real squidgame,Negative,-0.3182
soph 🍁,arlor • ddgc ,"18 they/them/他 chinese lesbian | #1 figayda stan (probably) | d20, les mis, batfam | matching with @gaIactics",2016-12-17 03:49:20+00:00,371,368,6415,False,2021-10-06 12:03:34+00:00,"— squid game (2021): deaths and foreshadowing 🦑

// MAJOR SPOILERS! cw blood , gore
#squidgame https://t.co/xJVUDW1zAl",Twitter for iPhone,False,squid game death foreshadowing major spoiler cw blood gore squidgame,Negative,-0.5994
Aliyah 🌤,,22 | here for the after-party,2019-12-20 06:13:15+00:00,30,11,4952,False,2021-10-06 12:03:19+00:00,"friendship gone wrong. friendship break-ups hurt the most. 😭
#SquidGame
#SquidGames https://t.co/kq2y3x6hKz",Twitter Web App,False,friendship gone wrong friendship breakup hurt squidgame squidgames,Negative,-0.1779
Mega Visions,,The world's first indie physical SEGA-focused retro magazine! We ship worldwide! Subscribe at https://t.co/8JNcHKpYb2,2008-05-28 10:57:13+00:00,16613,484,9036,False,2021-10-06 12:03:03+00:00,"That's definitely the first thing I saw - Who's seen #SquidGame so far? Happy Wednesday!

Via… https://t.co/JMC6cvy4uw",Buffer,False,thats definitely first thing saw who seen squidgame far happy wednesday via,Positive,0.7506
Yemzxy,"Lagos, Nigeria",Am special because am a triplet,2021-06-11 16:47:29+00:00,39,160,12,False,2021-10-06 12:02:57+00:00,"The saga continues
Get data cheap  @honourworldng
Message us on https://t.co/0ehyV9EP4w
#twitch #SquidGame #2baba… https://t.co/ASDjPpp2EH",Twitter for Android,False,saga continues get data cheap message u twitch squidgame baba,Neutral,0.0
kim joo ryoung pics,fan acc | she/her🦑,one and only. —for actress #김주령♡,2021-10-03 06:38:41+00:00,698,25,226,False,2021-10-06 12:02:52+00:00,naur she's just purely a cutie&lt;333  #squidgame #김주령 https://t.co/TlgYJasUBE,Twitter Web App,False,naur shes purely cutielt squidgame,Neutral,0.0
Geriatrixx,Montreal,"Born of a Jackal on the 6th of June 1966, I'm out to prove that Music is the Answer, Love is the Question",2009-08-26 18:51:47+00:00,234,574,3893,False,2021-10-06 12:02:52+00:00,"Dunno what everyone's going crazy about #SquidGame could of been an email IMO
#Netflix Bring Back #BlackMirror",Twitter for Android,False,dunno everyones going crazy squidgame could email imo netflix bring back blackmirror,Negative,-0.34
Movielovers/Tvlovers Unite,,"We are movie and television fans, Movie news, reviews and Top 10's",2016-01-07 21:56:01+00:00,405,555,1452,False,2021-10-06 12:02:45+00:00,I finally finished #SquidGame last night and that plot twist at the end was something that I didn’t see coming. Thi… https://t.co/YW9Z4bt5TK,Twitter for iPhone,False,finally finished squidgame last night plot twist end something didnt see coming thi,Neutral,0.0
Monkey Magic,uk,"People that think asking questions is negative confuse me.

#odx #ncyt #abdx #arb #accustem held, trade various.",2010-10-10 19:08:09+00:00,229,485,3013,False,2021-10-06 12:02:24+00:00,"#SquidGame

In the tug of war game, everyone was chained to the rope except the old man.  Missed that first time around.

#clues",Twitter for Android,False,squidgame tug war game everyone chained rope except old man missed first time around clue,Negative,-0.7269
Samaanslife (⧖) 🇲🇻🇺🇸🇵🇸,"K.HulhuMalé,Maldives 🇲🇻","19 | He/Him | 📸 | 🇲🇻🇺🇸🇵🇸 Independent Activist | Muslim | @minivanvayaa , Qalam & Moon MV | #Anitwt #ATLA ○△□ | Inspired By : @DanishZehenDMG | #PLM",2019-02-07 08:30:44+00:00,825,2477,87081,False,2021-10-06 12:02:12+00:00,Dalgona Candy Lover!  #NewProfilePic #SquidGame https://t.co/KinF4bqeNG,Twitter for iPhone,False,dalgona candy lover newprofilepic squidgame,Positive,0.5859
sara,,she/her,2021-09-18 21:09:16+00:00,8,43,514,False,2021-10-06 12:02:00+00:00,"favs💕
#SquidGame https://t.co/FPYQkTfEZ7",Twitter for iPhone,False,favs squidgame,Neutral,0.0
🕊ora⁷,➳ 별처럼 너의 하늘에 머물고 싶었어 하루를 그 순간을,⠀⠀⠀⠀☽ #TAEHYUNG: love all seven or perish ⠀⠀⠀⠀ ⠀⠀⠀⠀ ⠀⠀⠀⠀ ⠀ ⠀✩ she/her 21 uk ⠀⠀ ⠀⠀ ⠀⠀⠀⠀ ⠀⠀ ⠀⠀⠀⠀ ⠀ ⠀☼ bts fa - do not repost or sell,2017-11-15 05:33:48+00:00,7329,3464,15685,False,2021-10-06 12:01:55+00:00,couldn't resist sketching the loml #SquidGame https://t.co/vT503rfCkT,Twitter for iPad,False,couldnt resist sketching loml squidgame,Neutral,0.0
Pirate_Jail 🎥😎🏴󠁧󠁢󠁳󠁣󠁴󠁿🎩,"#DTLA , Street Runner Films ","RN/BSN/CLE :Pediatric/Diabetes Educator, Masters psychology, Author,stand-up artist,photojournalist ,A USA ARMY Vet @thelastpirateLA. 😎 Thanking God Everyday",2015-10-07 00:51:48+00:00,594,609,466,False,2021-10-06 12:01:47+00:00,I talk to the people I love😂🤣🤣😂😂😂😂 save your mystery cause it's a red light green light  #SquidGame  #WhatsApp… https://t.co/i65OerPfjf,Twitter for iPhone,False,talk people love save mystery cause red light green light squidgame whatsapp,Positive,0.8126
Gaziantep 724 Haber,,,2016-03-08 22:02:28+00:00,353,0,253,False,2021-10-06 12:01:43+00:00,"TWİTCH HACKLANDİ.
https://t.co/QBG1JlwAiU
#twitch #twitchtv #dax18 #SquidGame https://t.co/CyvfLLkodq",Twitter for Android,False,twtch hackland twitch twitchtv dax squidgame,Neutral,0.0
CampbellFUT,,,2020-05-23 08:06:40+00:00,122,474,1327,False,2021-10-06 12:01:39+00:00,"Just finished squid game and honestly it’s ok but I found it quite predictable.🤷‍♂️
#SquidGame",Twitter for iPhone,False,finished squid game honestly ok found quite predictable squidgame,Positive,0.6369
dredriven83➡️#NYCC,"Brooklyn, NY","I'm considered a geek bc of my love for all things superhero, a movie buff and all around cool guy! freelance assistant to @ODParlayHour",2018-09-20 13:31:20+00:00,416,3028,31239,False,2021-10-06 12:01:32+00:00,What wait there's a dub version for #SquidGame ? and I been watching this show reading the subtitles 4 no reason! S… https://t.co/O1PpMPy8IO,Twitter for Android,False,wait there dub version squidgame watching show reading subtitle reason,Neutral,0.0
EarlyGame,Germany,Own Your Game,2019-11-13 14:56:55+00:00,49381,153,963,False,2021-10-06 12:01:25+00:00,Season 2? 😂 @Xbox #SquidGame https://t.co/OoAAie9EaW,PromoRepublic,False,season squidgame,Neutral,0.0
Anne LaVampyre,NYC,Feminist Analysis of Sailor Moon and more! https://t.co/dtdmBPRkEh,2013-07-07 23:11:24+00:00,2795,1424,73827,False,2021-10-06 12:01:14+00:00,I’m really thrilled for Korea. If you would have told me in 2002 that one day Korean music and tv would dominate gl… https://t.co/lAM0xK9LyH,Twitter for iPhone,False,im really thrilled korea would told one day korean music tv would dominate gl,Positive,0.6115
𝑀𝓈.𝒴𝑜𝑜𝓃,Indonesia,"If you feel down, look up. Count 1-3 and you will be gwenchana💜// APP PREMIUM DM AJA ^^ //fast resp 081318296123",2018-12-27 09:38:06+00:00,214,200,17991,False,2021-10-06 12:01:13+00:00,"let's str3am your fav idol songs with apps premium by me
INDONESIA
100% TRUSTED
FAST RESP WA DI BIO

#netflix… https://t.co/hj2iQ5VRxW",Twitter Web App,False,let stram fav idol song apps premium indonesia trusted fast resp wa di bio netflix,Positive,0.7269
Reinhard Omukuba,Nairobi,Founder @UbunifuCollege & @CiafuMotors. Software Engineer. AI/ML tutor @UbunifuCollege. Former Humanitarian. Toxic elitist. Husband & dad,2014-03-02 18:09:11+00:00,800,93,3780,False,2021-10-06 12:01:08+00:00,"Cyber security “experts” be like: “I’m a cyber security expert except in areas where I’m not” 😂😂😂😂

#SquidGame https://t.co/JjTPJ82VUj",Twitter for iPhone,False,cyber security expert like im cyber security expert except area im squidgame,Positive,0.743
bona_nft,,"I'm bored of this world.
Any interesting thing?
#NFT #NFTartist",2021-09-28 05:52:23+00:00,8,45,0,False,2021-10-06 12:00:47+00:00,This world is boring. I wanna play #SquidGame,Twitter for iPhone,False,world boring wanna play squidgame,Neutral,0.0258
Charlie,United Kingdom,"Aspiring Youtuber/Content creator.
Disclaimer: Charlogical is a Brand
The content posted is reviewed and published by the Charlogical Team
Team@charlogical.com",2020-02-07 22:43:29+00:00,24,47,463,False,2021-10-06 12:00:26+00:00,"I Didn't mean to push her off - Squid Game Roblox https://t.co/J6olOsZMj5 @youtube @YouTubeGaming @roblox

#roblox… https://t.co/oE9P1UU2iE",Twitter Web App,False,didnt mean push squid game roblox roblox,Neutral,0.0
Tali 🐋,Antarctica,She/her | 18 | 🌱 vegan: follow me before I die of a nutrient deficiency,2018-08-28 19:13:01+00:00,470,487,14638,False,2021-10-06 12:00:19+00:00,Most unrealistic thing about squid game is that his phone battery lasted for like a week #SquidGame,Twitter for iPhone,False,unrealistic thing squid game phone battery lasted like week squidgame,Positive,0.3612
J ✨ new art 🎨,🇵🇭,18 💎 | ⚠️ do not repost/use/sell without my permission | seventeen enhypen treasure fan arts,2021-04-04 08:34:16+00:00,65,54,104,False,2021-10-06 12:00:07+00:00,"""Ladies and gentlemen... Her""

Here's a chibi art of Kang Saebyeok from Squid Game! 🦑🎮 I really love the show plus… https://t.co/dPwYZbGI9J",Twitter for Android,False,lady gentleman here chibi art kang saebyeok squid game really love show plus,Positive,0.6697
DHL Express Malaysia,Malaysia,"Global delivery specialists, helping businesses to grow globally through international trade. Follow us for export, import, ecommerce, and business advice.",2019-11-01 04:33:31+00:00,792,70,453,False,2021-10-06 12:00:02+00:00,"Can you win this game?😎 Challenge accepted!

#SquidGame #squidgamenetflix #dhlexpress #malaysia #Netflix #southkorea https://t.co/OGQ70mWij8",Twitter Web App,False,win game challenge accepted squidgame squidgamenetflix dhlexpress malaysia netflix southkorea,Positive,0.7351
Netflix Malaysia,Malaysia,"Bunyi tu #TUDUM, ya 😁",2015-12-03 19:16:33+00:00,176192,79,4517,True,2021-10-06 12:00:02+00:00,Just gonna leave these on ‘seen’ kot 😅 #YOU #SexEducation #Lucifer #SquidGame https://t.co/0jINojDKVI,Twitter Web App,False,gonna leave seen kot sexeducation lucifer squidgame,Negative,-0.0516
Aimless.Artiste,"Lyon, France","Insta @aimless.artiste 💜 Illustration, Fanart 🔥Comission Open 📬 Msg me",2017-08-13 18:20:17+00:00,1689,1710,2213,False,2021-10-06 12:00:02+00:00,Illustration #fanart of #squidgame of #HoyeonJung - #Saebyeok I'm in love 💙 https://t.co/x9ixUx2HEI,Twitter Web App,False,illustration fanart squidgame hoyeonjung saebyeok im love,Positive,0.6369
SILCREEK REALTORS,"Mombasa, Kenya","R.O.I, Building consultancy, selling, leasing, and property management services for residential and commercial properties in Coastal Area that suit our clients.",2020-08-24 12:03:43+00:00,379,367,4551,False,2021-10-06 12:00:01+00:00,"Thank you for giving us the opportunity to serve you with the expertise you can trust
#HappyCustomerServiceWeek… https://t.co/4C5XXJ2ckp",Twitter Web App,False,thank giving u opportunity serve expertise trust happycustomerserviceweek,Positive,0.875
Finder,"Sydney, Australia","Millions of Australians trust Finder to save them time and money. We can help you too. Compare more. Find better.

#MakeBetterDecisions",2009-04-25 07:06:51+00:00,3918,2052,5187,False,2021-10-06 12:00:01+00:00,#SquidGame is on track to become @netflix's greatest success and is already having an impact on a number of #stocks. https://t.co/ZidVwK5ftw,Twitter Web App,False,squidgame track become greatest success already impact number stock,Positive,0.8481
Srinivas Kumar,"Chennai, India 🇮🇳",|| Q.A 🧑🏻‍💻 || @FCBarcelona & @ChennaiIPL Fanatic 🥳 || The One With #Hope🧘🏻‍♂️||,2010-12-28 06:27:05+00:00,177,124,7295,False,2021-10-06 11:59:53+00:00,"Esp that ""Tug Of War"" Episode brilliant writing and screenplay 😍😍😍 #SquidGame https://t.co/iWYQOrVerm",Twitter for Android,False,esp tug war episode brilliant writing screenplay squidgame,Neutral,-0.0258
Malcolm Scott,"Ocean Grove, Victoria","Live on Wadawurrung country that has never been ceded, interests include ATSI health, headspace, AOD, HIV, ABI, Recovery, Counselling & Youth",2009-08-31 15:12:20+00:00,995,4498,75425,False,2021-10-06 11:59:49+00:00,@Kathryn_Fisk Just watched last episode of Animal Kingdom S5 on Netflix - #SquidGame next 👍,Twitter for iPad,False,watched last episode animal kingdom netflix squidgame next,Neutral,0.0
M ⁶ // IA,inactive,"if it's not him, it's not anyone. // he follows. 🤍",2012-07-20 15:44:08+00:00,3783,4768,23676,False,2021-10-06 11:59:29+00:00,no because im traumatized #SquidGame,Twitter for Android,False,im traumatized squidgame,Negative,-0.4019
Dori 💜💛,,always disgusted (she/her)☀️♍️↗️♐️🌙♌️ #BlackLivesMatter,2018-06-18 12:35:17+00:00,119,114,50176,False,2021-10-06 11:59:19+00:00,I’m on episode 5 and I feel like I missed what’s going on with this doctor #SquidGame,Twitter for iPhone,False,im episode feel like missed whats going doctor squidgame,Positive,0.0772
Digital Disco,,"In-Depth Business Stories & Analysis on the Tech, Media, & Telecom Sectors.

Click link in Bio for More!",2021-04-04 20:58:42+00:00,11,77,107,False,2021-10-06 11:59:08+00:00,@CNBCFastMoney this is exactly what we talk about in our latest article on #SquidGame. it's a home run for @netflix… https://t.co/ij3T5wwE2N,Twitter Web App,False,exactly talk latest article squidgame home run,Neutral,0.0
Brian Vaxter,Chicago (west town),"Hip Hopper, MC, DJ, Actor, Go-Ill citizen, Felicia's man, Comic Nerd, martial arts enthusiast. For DJ Mixes, Music and booking https://t.co/mVjci0bbkn",2008-12-24 14:36:59+00:00,1838,1714,34995,False,2021-10-06 11:59:04+00:00,Just watched the first episode of #SquidGame 😳 https://t.co/TYUHleD66W,Twitter for iPhone,False,watched first episode squidgame,Neutral,0.0
αhmεd,"Cairo , Egypt / North Sinai","Senior Petroleum Engineer , 32 , Leo , ahlawy",2019-06-27 13:26:45+00:00,157,192,463,False,2021-10-06 11:58:53+00:00,overrated #SquidGame,Twitter Web App,False,overrated squidgame,Neutral,0.0
X♥️O,,,2020-03-28 19:00:25+00:00,17,26,1053,False,2021-10-06 11:58:51+00:00,Not impressed by #SquidGame finale tbh 😐 https://t.co/0UufSNbQ16,Twitter for Android,False,impressed squidgame finale tbh,Positive,0.4767
MyMasqueBar - Self-Care is the Best Care,United States,We are everything masks. Tag #MyMasqueBar to be featured. 🐇Cruelty-Free. Shop⬇️ our collection of skincare goodies.,2013-09-26 15:47:33+00:00,561,700,900,False,2021-10-06 11:58:50+00:00,"Will Masque Bar pass the #SquidGame ?!

https://t.co/y4DivaVhQV",Twitter Web App,False,masque bar pas squidgame,Neutral,0.0
JKammy,"Cape Town, South Africa",New account,2021-10-01 10:32:15+00:00,46,196,0,False,2021-10-06 11:58:47+00:00,"Not them crying bathi bazobhatala😂🤣
#SquidGame",Twitter for iPhone,False,cry bathi bazobhatala squidgame,Negative,-0.4767
David Kappel,South Africa,@iDiskiTimes | former @soccer_laduma international editor I former @sportCIES / @FIFA #sportmanagement student I @bayer04fussball💪 Views are my own!,2013-01-22 20:06:38+00:00,14837,2873,12819,False,2021-10-06 11:58:33+00:00,So who has watch #SquidGame already?,TweetDeck,False,watch squidgame already,Neutral,0.0
Darian Yelland,,,2016-03-12 06:51:36+00:00,44,70,123,False,2021-10-06 11:58:03+00:00,"Definitely 4 square, tether ball, red light green light, plz add more if y’all have ideas #SquidGame https://t.co/lHPhZRYfBW",Twitter for iPhone,False,definitely square tether ball red light green light plz add yall idea squidgame,Positive,0.4588
𝘁𝗿𝗶𝘇៹⁷🐝 | 📖: jjk & tokyorev,"— 𝐬𝐞𝐫𝐞𝐧𝐝𝐢𝐩𝐢𝐭𝐲 ; it is to smile by accident, it is to stumble in a happy moment .  .  .  is to find a love to call mine.     ",⠀⠀⠀⠀⠀⠀  ، 𝗌𝗁𝖾!𝗁𝖾𝗋 | @yoongi my favorite boy ♥︎  ㅤㅤㅤㅤㅤㅤㅤ,2019-03-12 13:03:05+00:00,9128,10043,75681,False,2021-10-06 11:57:35+00:00,#SQUIDGAME: favs &lt;3 https://t.co/jalz8Gy9RA,Twitter for Android,False,squidgame favs lt,Neutral,0.0
Mike Hauser,,"Work: Digital marketing Play: Golf, Craft Beer, Hawthorn AFL, travel. Views are my own.",2008-01-09 11:05:33+00:00,1245,726,6520,False,2021-10-06 11:57:25+00:00,"Just watched first episode of Squid Game - It's a knockout and Survivor meet Hunger games and Parasite , I'm hooked… https://t.co/x2NsG1GPwu",Twitter for Android,False,watched first episode squid game knockout survivor meet hunger game parasite im hooked,Positive,0.128
Mel End,,"Being a Mel End aint as easy as ya think. Wife. Mum. G.C.F.C ⚽️ U2 🤟 Tricks, Gibbo🐕 #freepalestine 🇵🇸",2009-04-14 13:43:13+00:00,372,936,2829,False,2021-10-06 11:57:17+00:00,Why is #SquidGame not available??? Just finished episode 4 and can't watch anymore. @netflix,Twitter for Android,False,squidgame available finished episode cant watch anymore,Neutral,0.0
holdmyjilabi,India,Being a therapist with a dark humour.,2021-06-21 19:11:40+00:00,34,143,4464,False,2021-10-06 11:57:02+00:00,"My parents finished #SquidGame in one sitting without realising, they loved it. It’s also their first time watching… https://t.co/d1NQ75JGmn",Twitter for iPhone,False,parent finished squidgame one sitting without realising loved also first time watching,Negative,-0.4847
Kathryn Fisk,"Melbourne, Victoria",News Editor for @whichcarau and @WheelsAustralia and blogging mum. All views are my own. https://t.co/ZwnWVrow82…,2009-03-29 19:28:42+00:00,854,765,271,False,2021-10-06 11:56:48+00:00,Anyone else watching #SquidGame on Netflix? It’s incredibly addictive. 👀,Twitter for iPhone,False,anyone else watching squidgame netflix incredibly addictive,Neutral,0.0
(dil)emma🏳️‍🌈,"Budapest, Magyarország",":):
i love nicki and kpop with a passion.
she/her
leo with sag rising",2018-07-20 08:16:10+00:00,212,223,6047,False,2021-10-06 11:56:26+00:00,squid game destroyed me so bad. #squidgame #Netflix,Twitter for Android,False,squid game destroyed bad squidgame netflix,Negative,-0.7717
Pam,Boston MA area,Young Adult Librarian with a love of all things geeky. She/Her,2008-06-26 21:05:49+00:00,1785,755,40929,False,2021-10-06 11:56:14+00:00,Watched all of #MidnightMass and #SquidGame this week - Midnight Mass was definitely more my thing,Twitter for iPhone,False,watched midnightmass squidgame week midnight mass definitely thing,Positive,0.4019
Suhinho,Sydney,,2013-09-04 03:13:51+00:00,14,201,13,False,2021-10-06 11:56:12+00:00,"Ali got his marbles back! #SquidGame #aliabdul #ali #sangwoo
https://t.co/9yFXkTVOS9 via @YouTube",Twitter Web App,False,ali got marble back squidgame aliabdul ali sangwoo via,Neutral,0.0
"crazy tail self, M.S.",,"ion do nun but play, so there’s that. 2x an alumna. #BlackLivesMatter | 1913 ❤️",2016-03-21 18:55:23+00:00,1679,801,64877,False,2021-10-06 11:56:12+00:00,&amp; Mr. Don’t Take Care of His Kid a conniving son of a bitch too. Wow! #SquidGame,Twitter for iPhone,False,amp mr dont take care kid conniving son bitch wow squidgame,Negative,-0.3875
🌊🌊Becca Ashley McGowan🌊 🌊 (They/Her),"Connecticut, USA",I teach. I draw. I think. I play 🎮🎶. #genderfluid #neurodivergent #married #bpd #equityandjusticeforall #Ravenclaw ⚠️NO DMS⚠,2019-06-18 19:57:49+00:00,3402,4815,8011,False,2021-10-06 11:55:47+00:00,"Really @hodakotb ? Your remarks on Today about betting its only ""men"" who watch #SquidGame and not ""women"" ?? Pleas… https://t.co/e7kDyK6YIs",Twitter for Android,False,really remark today betting men watch squidgame woman plea,Neutral,0.0
Paul Woodthorpe,United Kingdom,"If you don't follow me, you stupid!",2011-09-30 19:47:30+00:00,185,77,3114,False,2021-10-06 11:55:43+00:00,Serious question. What colour are the #SquidGame guard outfits?,Twitter for iPhone,False,serious question colour squidgame guard outfit,Negative,-0.0772
King David Tobi,"Lagos, Nigeria",💥 solo gospel artist from lagos invading 🌍 ✍️ Working on album no.5 ✍️ MGMT @ntpragency,2010-12-12 15:15:18+00:00,1289,1198,2451,False,2021-10-06 11:55:41+00:00,"Different Shows, Same Energy 🌈
#AliceInBorderland #SquidGame https://t.co/e5m3Dwztsu",Twitter for Android,False,different show energy aliceinborderland squidgame,Positive,0.2732
MyWallSt,Dublin/New York,Welcome to the home of successful investing. We help you to generate unrivalled long-term stock returns. Own your financial future #MyWallSt #OwnIt.,2013-04-24 21:33:33+00:00,8377,881,2629,False,2021-10-06 11:55:37+00:00,$NFLX shares soared 5.2% yesterday after investors poured into the stock after witnessing the success of #SquidGame… https://t.co/cAdcXWShJf,Twitter Web App,False,nflx share soared yesterday investor poured stock witnessing success squidgame,Positive,0.7096
circdusoleil,"Jakarta Selatan, DKI Jakarta",Jack of all trades and great at each 🃏,2019-12-15 09:07:55+00:00,8,85,151,False,2021-10-06 11:55:35+00:00,When you’re having a meeting and #googlemet approves #SquidGame 🦑🕹 #오징어게임 #viral #wfh #meeting https://t.co/0rlIdnnVwi,Twitter for iPhone,False,youre meeting googlemet approves squidgame viral wfh meeting,Positive,0.4019
Kels from up the street ❤️‍🔥,"Fort Worth, TX",PVAMU Alum : 1913 : 🌈 : GROWN yrs old,2012-11-26 19:11:09+00:00,2051,1955,33929,False,2021-10-06 11:55:25+00:00,I still haven’t finished #SquidGame,Twitter for iPhone,False,still havent finished squidgame,Neutral,0.0
Ramin Omrani,Italia,The greatest freedom is to be free of one's own mind.,2020-06-05 07:31:06+00:00,60,608,7435,False,2021-10-06 11:55:13+00:00,#squidgame reminds me of job interviews.,Twitter for Android,False,squidgame reminds job interview,Neutral,0.0
JustSomeGoth,"England, United Kingdom",23|Furry|Nonbinary|Goth.,2020-07-27 12:57:43+00:00,8,52,8,False,2021-10-06 11:55:03+00:00,"SQUIDGAME CHIBI YCH OPEN!
Unshaded - £20
Shaded - £35
Any species, Any changes, Any Number!
Will you survive?
Feat… https://t.co/e8ODi3HvLV",Twitter for iPhone,False,squidgame chibi ych open unshaded shaded specie change number survive feat,Positive,0.0772
iDiski Times,South Africa,"Your new home for everything SA football. Your game, your language! Official account for iDiski Times & iDiskiTV",2020-10-27 12:04:12+00:00,12915,610,1058,False,2021-10-06 11:55:00+00:00,"So Kaizer Chiefs and Orlando Pirates fans, who would win the #SquidGame Soweto derby? 🧐 https://t.co/CiTIOZ8Ny3",TweetDeck,False,kaizer chief orlando pirate fan would win squidgame soweto derby,Positive,0.7269
Fãs de Keanu Reeves,Brasil,Keanu Charles Reeves - Ator e Diretor  nascido no líbano,2014-05-03 21:01:27+00:00,4044,390,5570,False,2021-10-06 11:54:47+00:00,"This is '#SquidGame' would look if it starred #KeanuReeves, #BradPitt and #Zendaya https://t.co/IB0dUP7q2O",Twitter for Android,False,squidgame would look starred keanureeves bradpitt zendaya,Neutral,0.0
제로 ◡̈,heart is in 대한민국 서울,"@imzerooclock's ✨ | KOR ➡️ ENG | for translation works, dm here or reach me at zerotranslates@gmail.com | DON’T STEAL TRANSLATIONS, credits are ok.",2020-12-19 03:26:13+00:00,76,1,24,False,2021-10-06 11:54:42+00:00,"#SquidGame actress #JungHoyeon is less than 100k away from 15 million instagram followers! ◡̈

no one’s doing it l… https://t.co/R1Jg8WVU82",Twitter for iPhone,False,squidgame actress junghoyeon less k away million instagram follower one l,Neutral,0.0
